target,target_interaction,description,tertiary_rating,pol_prev1,pol_prev2,prev1,prev2,tid,timestamp,tweet_text,annotator,context
Donald Trump,No Mention of Target,"Leading the Recruiting & HR Team @LOYAL3.  Weekends are hiking, riding, cooking, reading, friends, family.",-1,Introducing the &#8220;Trump loophole&#8221;&#8212;trickle-down economics with a special Trumpian twist. {{link}},"The Donald is peddling fear, as usual. And hyperbole.  #PresidentialDebate","RT @XLNB: FYI,keeping troops in Iraq only gives terrorists route to radicalize people who hate American occupation in their lands. #DebateNight",RT @insideclimate: No climate or energy questions yet in the presidential debate #Debates2016,780593771427733504,9/27/2016 2:23:52,RT @zozast: #debatenight didn't help undecided voters one bit so far.,MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,Leslie Korein is good.,-1,Somebody told trump that he can only talk about bringing jobs back bigly. #bigly #debates,"I need yr help: everytime some1 cuts you off in traffic or is rude, yell """"This is not Trump's America!"""" POST & RT PLZ.  #nottrumpsamerica","DID HE JUST #BIGLY AGAIN? Ok, we are all being Punked. Or Jamie Kennedy X-ed. #debates","#debates, pls ask: What do u do if u don't win? If it's become Sec. ofState & work w winner to save #USA, that's good. #RealityTV? not great",788920212405956609,10/20/2016 1:50:10,"mr. t uses the #scientology method-never defend, always attack. #debatenight #secretscisci?",MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,Actress/Writer/Optimist/ Casting & Admin Assistant at City Lights Theater Co.,-1,RT @robfee: How are so many people JUST NOW offended by Trump? It's like getting to the 7th Harry Potter book & realizing Voldemort might be a bad guy.,RT @maxtothemax33: Instead of making a joke I just watched this #debatenight and guys... this is really happening. We got here. Something's wrong.,"RT @cycloptiko: """"Words, words, words. It's all we have to go on."""" - Hamlet #debates",RT @robfee: How are so many people JUST NOW offended by Trump? It's like getting to the 7th Harry Potter book & realizing Voldemort might be a bad guy.,785291677372067840,10/10/2016 1:31:40,Oh my god. Trump is a bratty child. What a joke. #debate,MANUAL,FULL INFORMATION
Donald Trump,@Mention,I prefer the word geek over nerd. UK journalism grad working for UK HealthCare RCO. @LFINews for my KY live music news/reviews.,-1,Omfg who just saw that dude get snatched off the side of Trump Tower??? Periscope and Facebook Live just became real things,"RT @nytimes: Trump is testing the norms of objectivity in journalism, @jimrutenberg writes {{link}} {{link}}","Any time an album isn't as exciting as I'd hoped, I listen to The Money Store and scramble my brain all over again",Thank you everyone we stay indecisive,776960483379339265,9/17/2016 1:46:29,RT @mcuban: .1) @realDonaldTrump $10mm to the charity of YOUR choice if you let ME interview you for 4 hrs on YOUR policies and their substance.,MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,https://t.co/2IaOk9SZjj,-1,"RT @CALhardee: When Trump looks down, it looks like that @snapchat filter where it replaces your eyes with your mouth {{link}}",RT @SethMacFarlane: Is Trump sniffing so much because he smells his own bullshit?,RT @BlackPplVines: yooooooo i'm fucking crying&#128514;&#128514; {{link}},RT @aka_deejay: I want EVERYONE to take the time & listen to this very special song for a very special person&#10084;&#65039;..I LOVE YOU #RIPKARA {{link}},780962269681311744,9/28/2016 2:48:09,RT @jimmyhendrixjr: Trump can run for president with no political experience but I need a masters and 5 years experience for an entry level job,MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,,-1,RT @thehill: Billy Bush suspended from &#8216;Today&#8217; show over Trump tape {{link}} {{link}},RT @romy_grant: @realDonaldTrump accusing @machadooficial of having a sex tape   Well guess who has one.,RT @thehill: Billy Bush suspended from &#8216;Today&#8217; show over Trump tape {{link}} {{link}},RT @HillaryClinton: RT this if you're proud to have Hillary's back tonight. {{link}} {{link}},785299091764891649,10/10/2016 2:01:08,"RT @lourdesmeluza: Did you use the 916 mill loss in your tax return to avoid paying federal income taxes? Trump:   """"Of course I do"""". """"I absolutely used it"""".",MANUAL,FULL INFORMATION
Donald Trump,@Mention,,-1,"RT @elizabethforma: Your reckless comments sound like a two-bit dictator, @realDonaldTrump. Not a man who wants to lead the greatest democracy on the planet.",@HillaryClinton  so excited to he here to support the next President of the United States. #HRCinCO,"RT @elizabethforma: Your reckless comments sound like a two-bit dictator, @realDonaldTrump. Not a man who wants to lead the greatest democracy on the planet.",@HillaryClinton  proud to be a Hillary supporter. #HRCinCO {{link}},763158037750091776,8/9/2016 23:40:29,RT @elizabethforma: .@realDonaldTrump makes death threats because he's a pathetic coward who can&#8217;t handle the fact that he&#8217;s losing to a girl.,MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"Nerdy Stay-at-Home Dad | Freelance Editor & #Postac Consultant | Co-Founder, @PrecariCorps | Equal parts Yoda, Castle, Moriarty, & Thanos",-1,"RT @RosieGray: """"Such a nasty woman."""" """"Your husband disagrees with you."""" Trump outreach to women going swimmingly",RT @MyDaughtersArmy: Hillary won the debate.    Hillary will get the votes.    Hillary will become PRESIDENT.      #debatenight,"RT @RosieGray: """"Such a nasty woman."""" """"Your husband disagrees with you."""" Trump outreach to women going swimmingly",RT @MyDaughtersArmy: Hillary won the debate.    Hillary will get the votes.    Hillary will become PRESIDENT.      #debatenight,788936666895482881,10/20/2016 2:55:33,RT @lindsaygoldwert: Women running to create and sell Nasty Woman t-shirts on Etsy #debatenight {{link}},MANUAL,FULL INFORMATION
Donald Trump,@Mention,"CEO, Owner Manager of Bluprint Productions/Bluprint Wrestling Network.    IG: Marlondinkins   Twitter: @marlon_dinkins   Support: https://t.co/uCmlQlHLA6",0,@JoeCroninSHOW @JDfromNY206 I'm going to hell Hillary vs Enzo Please like/share.   #raw #wwe #bluprintwrestlingnetwork #followthebluprint,I'm going to hell..Hillary vs Enzo..Please like/share. You Juan c it?   #raw #bluprintproductions #bluprintwrestlingnetwork #followthebluprint {{link}},RT @JustinLaBar: Had meetings this week & my radio show/podcast is still alive! Sorry there was none this past week but will return very soon!,RT @WenzlNBA: Grizzlies waive Wroten after one preseason game {{link}} #NBA #Basketball #NBAPreseason {{link}},784516728168394752,10/7/2016 22:12:18,RT @WWECreative_ish: Now that @realDonaldTrump has a secret recording where he says awful comments he finally earned his spot in the WWE Hall of Fame #Kayfabe,MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,,-1,@jaketapper so w Hillary leaks they say it doesn't matter how who or when they were obtained-they were said-well touch&#233; grabbing pussies!!!,@donlemon -won't b in 2 separate offices?! They're pretty much there right now-he says trump isn't saying or taking the stance he is now!,@andersoncooper wait who'd be in jail?! Pussy grabber?!,@andersoncooper we're gonna make America great again n safe-not safe from pussy grabbing but safe u know what I mean!! Lol,786297538408099840,10/12/2016 20:08:36,@TheLeadCNN -trump should be happy his emails haven't been hacked-can hardly imagine what's in his after hearing what he says behind doors!,MANUAL,FULL INFORMATION
Donald Trump,@Mention,retired English professor,-1,@realDonaldTrump Obama's white mother was born in America as were her parents.  You don't have one grandparent born in America.,@realDonaldTrump Why weren't any of the veterans who you paraded on stage younger than 60?  Did you pay the black folks to stand behind you?,@realDonaldTrump Obama's white mother was born in America as were her parents.  You don't have one grandparent born in America.,@realDonaldTrump Why weren't any of the veterans who you paraded on stage younger than 60?  Did you pay the black folks to stand behind you?,776914444425175040,9/16/2016 22:43:32,"@realDonaldTrump Four of your five children have foreign mothers, and your mother was born in Scotland.  Obama's mother is American.",MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,Comedian/Podcaster Co-Host of God Awful Movies,-1,"#debatenight """"THE MAINSTREAM MEDIA IS AGAINST ME"""" -Donald Trump/the homeless guy who lives under my bridge","#debatenight people who think they have great relationships with people they have """"nothing"""" to say to are stalkers, not presidents","#debatenight """"THE MAINSTREAM MEDIA IS AGAINST ME"""" -Donald Trump/the homeless guy who lives under my bridge",its not the past the MAIN thing Trump and his supporters dont understand {{link}},780593670823247873,9/27/2016 2:23:28,"#debatenight """"I think my best feature is my temperment"""" -man who has been and continues to be SCREAMING",MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"Just an observant, vocal, politically aware, short-tempered, opinionated man, offended by selective ignorance & hypocrisy fueled by 36 years of journalism.",-1,#DontBooVote #election2016 #Hillary #ImWithHer {{link}},I heard @ReneeEllmers is a babbling imbecile who thinks #Trump won't dump her once he's used her. It must be true.   {{link}},#DontBooVote #election2016 #Hillary #ImWithHer {{link}},I heard @ReneeEllmers is a babbling imbecile who thinks #Trump won't dump her once he's used her. It must be true.   {{link}},794993374705029120,11/5/2016 20:02:45,"#Election2016: 1st nominee ever with not 1, but 2 felony trials (pedophile rape, mass fraud) against him begin <1 month before inauguration.",MANUAL,FULL INFORMATION
Donald Trump,@Mention,Director of the NYU/Bellevue Gender and Sexuality Service working w/ LGBTQ youth and families; Child and Adolescent psychiatrist in NYC and Professor at NYU,-1,Apparently Trump imagines that all hackers are 400lbs and bed bound. What????  #debatenight,RT @mynameiswilson: WOAH WTF &#8220;someone sitting on their bed and weighs 400 pounds&#8221;      Trump is not a fan of obese hackers.      #DebateNight,"@_oatc_ it did not, but I'd be very curious to learn more about it. I can't imagine they are equipped to handle it as of yet.",Inspiring talk on transgender health through the military lens. #mlhs2016 {{link}},784588682418356225,10/8/2016 2:58:13,So @realDonaldTrump it's ok to talk blithely about sexually assaulting women. What are you teaching your sons and daughters? @IvankaTrump,MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"Tea drinker, gamer, developer at GitHub. Find me at https://t.co/KnsiOll0fP",-1,"Can I respond? """"Well, no."""" Trump proceeds to respond. &#128579; Whee... #debatenight","Trump will """"keep us in suspense"""" about the hot TV premiere this fall--err, the presidency. #debatenight","Can I respond? """"Well, no."""" Trump proceeds to respond. &#128579; Whee... #debatenight","Trump will """"keep us in suspense"""" about the hot TV premiere this fall--err, the presidency. #debatenight",788931380612915204,10/20/2016 2:34:33,"OMG did he just interrupt her, wag his finger, and say """"such a nasty woman""""? &#128551; #debatenight",MANUAL,FULL INFORMATION
Donald Trump,No Mention of Target,"Neurobiologist, food enthusiast, skeptic and avid cyclist.",-1,"For the 3rd time since The Atlantic&#8217;s founding, editors endorse a candidate for president. The case for Hillary. {{link}}",RT @saladinahmed: HOLT: can you talk about the state of race in america?      TRUMP: once I owned a club where we didn't kick out negroes,"For the 3rd time since The Atlantic&#8217;s founding, editors endorse a candidate for president. The case for Hillary. {{link}}","@philnickinson Pixel come with Duo preinstalled, but no real mention of Allo. Is it being put out to pasture already?",785290971017863171,10/10/2016 1:28:52,RT @SteveCase: #ImWithHer #debate {{link}},MANUAL,FULL INFORMATION
Donald Trump,@Mention,"Arts & mental health advocate, proud Iowan, music lover, community volunteer, DSM Mom",-1,"Hillary Clinton, Unicorns, and Child Mental Health Care {{link}} via @themightysite",Stop calling Trump &#8216;crazy.&#8217; It demeans those with mental illness. {{link}},I am so uncomfortable! #debates #trumpisdisqualified #ishedrunk,Watch Joe Biden go undercover at college to stop campus sexual assault in new &#8216;Funny or Die&#8217; video {{link}},785307128315600896,10/10/2016 2:33:04,"Anybody got a count on how many times @realDonaldTrump has said """"disaster""""? #debate #imwithher",MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,,1,I liked a @YouTube video from @mitrimm {{link}} Episode 9 - Advice From Our Founding Fathers & Hillary Clinton's,I liked a @YouTube video from @stefanmolyneux {{link}} The Article About Trump Nobody Will Publish - Rebutted!,I liked a @YouTube video from @mitrimm {{link}} Episode 9 - Advice From Our Founding Fathers & Hillary Clinton's,Check out the Food and Wine event I just posted on {{link}} {{link}} via @worldwineevents,795714502159454209,11/7/2016 19:48:15,I liked a @YouTube video {{link}} Donald Trump's Argument For America,MANUAL,FULL INFORMATION
Donald Trump,@Mention,The Cobble Hill Kid. Bicycle Diary: https://t.co/w2HHRLoypK,-1,I'd like to think @HillaryClinton channeled her inner Prince last night. {{link}},ping me if you have any great ideas for using my handle to better support @HillaryClinton,RT @SFMusicTech: Thrilled to announce the winners of the #SFMusicTech Startup Competition! Check out the winners here: {{link}},Take It To The Bridge {{link}} - new panoramic shot I plan on printing vertically.,782323762901422080,10/1/2016 20:58:14,"RT @elizabethforma: Nope, @realDonaldTrump: the only things that keep your mind racing at night are your next racist, sexist tweets & disgusting lies.",MANUAL,FULL INFORMATION
Donald Trump,Plaintext Mention,"Dancing with a handsome man, that's what I'd rather be doing.",1,My mom is seeing Donald Trump Tuesday &#128513;,Snowden is just as fucking worthless and as big of a piece of trash as Hilary Clinton &#128405;&#127995;&#128405;&#127995;&#128405;&#127995;&#128405;&#127995;&#128405;&#127995;&#128405;&#127995;&#128405;&#127995;&#128405;&#127995;,Looking for someone to come see Halloween with me &#128513;,{{link}},791013455255867392,10/25/2016 20:27:58,People who are boycotting Ivanka Trump for supporting her dad are just being bullies,MANUAL,FULL INFORMATION
Donald Trump,@Mention,"Military Veteran,Computer Programmer, Nurse,Casino Dealer,Business Consultant to Arab Americans,Advocate of Mental Challenged and Disabled Veterans,Volunteer",-1,RT @AdamParkhomenko: This picture captures so much of what we are fighting for by supporting Hillary and organizing for every single day. {{link}},Mike Pence hints at Trump's Muslim Ban extending to other religions {{link}} God will handle modern day's Pharaoh army.,RT @wwltvweather: More local storm totals. #4WWL {{link}},RT @carl_arredondo: More local storm totals. #4WWL {{link}},765687997048074240,8/16/2016 23:13:38,I challenge @realDonaldTrump to take the naturalization test {{link}} @moveon #UnitedAgainstHate #DefeatTrump,MANUAL,FULL INFORMATION
